
> aframe-360-image-gallery-boilerplate@0.3.0-beta6 start /home/abrar/VR
> budo --live --verbose --port 3000 --open

[0000] info  Server running at http://45.76.184.39:3000/ (connect)
[0001] info  LiveReload running on 35729
[0665] 5ms        1232B GET    200 /components/set-image.js
[0665] 5ms         216B GET    200 /components/update-raycaster.js
[0666] 2ms        3652B GET    200 /img/backpacklogo.png
[0666] 1ms         18KB GET    200 /img/pop1.jpg
[0666] 2ms         20KB GET    200 /img/pop2.jpg
[0666] 3ms         48KB GET    200 /img/pop3.jpg
[0666] 2ms         31KB GET    200 /img/pop4.jpg
[0666] 1ms         46KB GET    200 /img/pop5.jpg
[0667] 1ms         20KB GET    200 /img/pop6.jpg
[0667] 1ms         48KB GET    200 /img/pop7.jpg
[0667] 1ms         20KB GET    200 /img/pop8.jpg
[0667] 1ms         20KB GET    200 /img/pop9.jpg
[0667] 2ms         37KB GET    200 /img/pop10.jpg
[0667] 3ms         29KB GET    200 /img/pop11.jpg
[0667] 4ms         36KB GET    200 /img/pop12.jpg
[0667] 1ms         17KB GET    200 /img/thumb1.jpg
[0668] 2ms         17KB GET    200 /img/thumb2.jpg
[0668] 2ms         20KB GET    200 /img/thumb3.jpg
[0668] 3ms         13KB GET    200 /img/thumb5.jpg
[0668] 4ms         33KB GET    200 /img/thumb4.jpg
[0669] 2ms         25KB GET    200 /img/thumb7.jpg
[0669] 6ms         66KB GET    200 /img/thumb6.jpg
[0669] 1ms         30KB GET    200 /img/thumb10.jpg
[0669] 3ms         34KB GET    200 /img/thumb11.jpg
[0669] 7ms         66KB GET    200 /img/thumb12.jpg
[0669] 6ms         32KB GET    200 /img/thumb8.jpg
[0669] 75ms        66KB GET    200 /img/4.jpg
[0669] 87ms        66KB GET    200 /img/2.jpg
[3875] 2ms           0B GET    304 /components/set-image.js
[3875] 2ms           0B GET    304 /components/update-raycaster.js
[3875] 3ms           0B GET    304 /img/backpacklogo.png
[3875] 1ms           0B GET    304 /img/pop1.jpg
[3875] 0ms           0B GET    304 /img/pop2.jpg
[3875] 1ms           0B GET    304 /img/pop3.jpg
[3875] 1ms           0B GET    304 /img/pop4.jpg
[3875] 1ms           0B GET    304 /img/pop5.jpg
[3875] 1ms           0B GET    304 /img/pop6.jpg
[3875] 1ms           0B GET    304 /img/pop7.jpg
[3876] 0ms           0B GET    304 /img/pop8.jpg
[3876] 1ms           0B GET    304 /img/pop9.jpg
[3876] 2ms           0B GET    304 /img/pop11.jpg
[3876] 5ms           0B GET    304 /img/pop12.jpg
